run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
1;sc;997.1078502309974;2075;4195;6270;422.84765625;sc_sa_sd_ca_cc_cb_cd_sb;['sc', 'sa', 'sd', 'ca', 'cc', 'cb', 'cd', 'sb']
2;sb;364.20739234401844;1926;3749;5675;422.84765625;sb_cd_cb_ca_sd_sc_sa_cc;['sb', 'cd', 'cb', 'ca', 'sd', 'sc', 'sa', 'cc']
3;sc;779.7509681810043;2126;4349;6475;432.1171875;sc_sb_sd_ca_sa_cd_cc_cb;['sc', 'sb', 'sd', 'ca', 'sa', 'cd', 'cc', 'cb']
4;cd;1689.5365464669885;2117;4282;6399;854.76171875;cd_cc_ca_cb_sb_sc_sd_sa;['cd', 'cc', 'ca', 'cb', 'sb', 'sc', 'sd', 'sa']
5;cb;833.7402407580521;2180;4404;6584;854.76171875;cb_cd_cc_ca_sa_sc_sb_sd;['cb', 'cd', 'cc', 'ca', 'sa', 'sc', 'sb', 'sd']
6;cc;371.60215342702577;2014;3759;5773;605.1953125;cc_sa_ca_sb_sd_sc_cb_cd;['cc', 'sa', 'ca', 'sb', 'sd', 'sc', 'cb', 'cd']
7;cb;510.30030924401945;2131;4370;6501;601.2578125;cb_cd_sb_sd_cc_ca_sa_sc;['cb', 'cd', 'sb', 'sd', 'cc', 'ca', 'sa', 'sc']
8;sa;533.202876758005;1916;3481;5397;600.2734375;sa_sd_cd_cc_sc_sb_cb_ca;['sa', 'sd', 'cd', 'cc', 'sc', 'sb', 'cb', 'ca']
9;sc;986.4788633059943;2086;4305;6391;600.2734375;sc_ca_cc_sa_sd_cb_cd_sb;['sc', 'ca', 'cc', 'sa', 'sd', 'cb', 'cd', 'sb']
10;cd;323.1796245419537;1734;3032;4766;598.3046875;cd_sa_ca_cb_sb_sd_sc_cc;['cd', 'sa', 'ca', 'cb', 'sb', 'sd', 'sc', 'cc']
11;sd;792.7181209749542;2018;4016;6034;597.58203125;sd_sa_ca_cb_cc_cd_sc_sb;['sd', 'sa', 'ca', 'cb', 'cc', 'cd', 'sc', 'sb']
12;cb;650.5286117650103;1871;3478;5349;597.58203125;cb_cc_sb_ca_sa_sd_sc_cd;['cb', 'cc', 'sb', 'ca', 'sa', 'sd', 'sc', 'cd']
13;sa;648.8167566320044;1889;3621;5510;597.58203125;sa_sc_sb_cc_cb_cd_ca_sd;['sa', 'sc', 'sb', 'cc', 'cb', 'cd', 'ca', 'sd']
14;ca;279.8728069959907;1737;3013;4750;596.59765625;ca_sa_cb_sb_sd_cc_cd_sc;['ca', 'sa', 'cb', 'sb', 'sd', 'cc', 'cd', 'sc']
15;ca;563.9777543069795;1757;3099;4856;596.59765625;ca_sb_sd_cb_sa_cd_cc_sc;['ca', 'sb', 'sd', 'cb', 'sa', 'cd', 'cc', 'sc']
16;sa;1216.3053900370141;2142;4655;6797;596.59765625;sa_ca_sd_sc_cc_sb_cb_cd;['sa', 'ca', 'sd', 'sc', 'cc', 'sb', 'cb', 'cd']
17;sa;342.21185794996563;1908;3598;5506;594.62890625;sa_cb_ca_sd_cd_cc_sb_sc;['sa', 'cb', 'ca', 'sd', 'cd', 'cc', 'sb', 'sc']
18;sb;537.5670959409908;2059;4043;6102;594.62890625;sb_cb_sd_cc_ca_cd_sc_sa;['sb', 'cb', 'sd', 'cc', 'ca', 'cd', 'sc', 'sa']
19;sc;518.1674988950253;1932;3528;5460;594.62890625;sc_cd_sa_sd_cc_sb_cb_ca;['sc', 'cd', 'sa', 'sd', 'cc', 'sb', 'cb', 'ca']
20;sc;876.7278405840043;2117;4334;6451;611.09375;sc_ca_cb_sd_sa_cd_cc_sb;['sc', 'ca', 'cb', 'sd', 'sa', 'cd', 'cc', 'sb']
21;sa;397.8566027029883;1816;3361;5177;611.09375;sa_ca_cc_sb_sd_cb_sc_cd;['sa', 'ca', 'cc', 'sb', 'sd', 'cb', 'sc', 'cd']
22;sa;518.1866864669719;1943;3730;5673;610.1171875;sa_cd_sc_sb_cb_ca_cc_sd;['sa', 'cd', 'sc', 'sb', 'cb', 'ca', 'cc', 'sd']
23;ca;626.0407597020385;2088;4368;6456;609.1328125;ca_cc_cd_sd_cb_sa_sc_sb;['ca', 'cc', 'cd', 'sd', 'cb', 'sa', 'sc', 'sb']
24;sc;707.0817898569512;1905;3636;5541;608.1484375;sc_sb_cb_ca_cd_sa_cc_sd;['sc', 'sb', 'cb', 'ca', 'cd', 'sa', 'cc', 'sd']
25;sa;824.4501834959956;2088;4189;6277;606.1796875;sa_sb_ca_cd_sd_cc_sc_cb;['sa', 'sb', 'ca', 'cd', 'sd', 'cc', 'sc', 'cb']
26;sa;628.3635635710089;1911;3641;5552;606.1796875;sa_cc_cb_sd_cd_sc_ca_sb;['sa', 'cc', 'cb', 'sd', 'cd', 'sc', 'ca', 'sb']
27;ca;762.5695378850214;1827;3325;5152;605.1953125;ca_sb_cb_cd_sa_sc_sd_cc;['ca', 'sb', 'cb', 'cd', 'sa', 'sc', 'sd', 'cc']
28;cc;751.7717499900027;2159;4424;6583;604.2109375;cc_cb_sc_sb_cd_sd_sa_ca;['cc', 'cb', 'sc', 'sb', 'cd', 'sd', 'sa', 'ca']
29;cc;697.3255958340014;2104;4512;6616;619.11328125;cc_cd_sa_sb_sd_cb_ca_sc;['cc', 'cd', 'sa', 'sb', 'sd', 'cb', 'ca', 'sc']
30;sc;614.675467714027;1768;3212;4980;619.11328125;sc_cb_sa_ca_cc_sb_cd_sd;['sc', 'cb', 'sa', 'ca', 'cc', 'sb', 'cd', 'sd']
31;ca;10099.425633767969;2081;4131;6212;2392.0703125;ca_sa_sb_sd_sc_cc_cd_cb;['ca', 'sa', 'sb', 'sd', 'sc', 'cc', 'cd', 'cb']
32;sa;1105.8160241779988;2090;4301;6391;2392.54296875;sa_sb_sd_cb_sc_cd_ca_cc;['sa', 'sb', 'sd', 'cb', 'sc', 'cd', 'ca', 'cc']
33;sb;352.06598998297704;1973;3918;5891;1159.33203125;sb_cb_cd_sc_sd_sa_ca_cc;['sb', 'cb', 'cd', 'sc', 'sd', 'sa', 'ca', 'cc']
34;sc;642.3921778229997;2021;3937;5958;1045.49609375;sc_ca_sa_cb_cd_cc_sd_sb;['sc', 'ca', 'sa', 'cb', 'cd', 'cc', 'sd', 'sb']
35;cd;577.8607309819781;2103;4209;6312;1045.23046875;cd_cb_sd_ca_sb_sc_cc_sa;['cd', 'cb', 'sd', 'ca', 'sb', 'sc', 'cc', 'sa']
36;sb;674.3479971080087;2105;4251;6356;1043.26171875;sb_sd_sa_ca_cc_sc_cb_cd;['sb', 'sd', 'sa', 'ca', 'cc', 'sc', 'cb', 'cd']
37;sa;466.7084015550208;1909;3639;5548;1040.30859375;sa_sb_cb_ca_sc_sd_cd_cc;['sa', 'sb', 'cb', 'ca', 'sc', 'sd', 'cd', 'cc']
38;cd;687.8498684529914;2091;4175;6266;1039.32421875;cd_cc_sd_sa_cb_sc_ca_sb;['cd', 'cc', 'sd', 'sa', 'cb', 'sc', 'ca', 'sb']
39;sd;554.2552178499755;2092;4437;6529;1037.51171875;sd_sb_cd_ca_cb_sc_sa_cc;['sd', 'sb', 'cd', 'ca', 'cb', 'sc', 'sa', 'cc']
40;cc;914.2815979929874;1981;3829;5810;1037.51171875;cc_sb_ca_cd_cb_sa_sd_sc;['cc', 'sb', 'ca', 'cd', 'cb', 'sa', 'sd', 'sc']
41;cb;877.4313017689856;2084;4324;6408;1036.37109375;cb_ca_cc_sc_sd_cd_sa_sb;['cb', 'ca', 'cc', 'sc', 'sd', 'cd', 'sa', 'sb']
42;sc;496.80743990902556;1881;3365;5246;1034.40234375;sc_cd_cc_sd_sb_sa_cb_ca;['sc', 'cd', 'cc', 'sd', 'sb', 'sa', 'cb', 'ca']
43;sa;461.8152530200314;2063;3871;5934;1034.40234375;sa_cd_sb_sc_ca_sd_cb_cc;['sa', 'cd', 'sb', 'sc', 'ca', 'sd', 'cb', 'cc']
