run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
1;sc;sc_sa_sd_ca_cc_cb_cd_sb;997.1078502309974;6270;422.84765625;cb**2, sd**2, sc*sd, sa**2, sc**2, ca*cb*sb, sd*cb*sb, sa*cb*sb, sc*cb*sb, cc**2*sb, ca*cc*sb, sd*cc*sb, sa*cc*sb, sc*cc*sb, ca**2*sb, sd*ca*sb, sa*ca*sb, sc*ca*sb, sa*sd*sb, sc*sa*sb, cd**3, cb*cd**2, cc*cd**2, ca*cd**2, sd*cd**2, sa*cd**2, sc*cd**2, cc*cb*cd, ca*cb*cd, sd*cb*cd, sa*cb*cd, sc*cb*cd, cc**2*cd, ca*cc*cd, sd*cc*cd, sa*cc*cd, sc*cc*cd, ca**2*cd, sd*ca*cd, sa*ca*cd, sc*ca*cd, sa*sd*cd, sc*sa*cd, cc**2*cb, ca*cc*cb, sd*cc*cb, sa*cc*cb, sc*cc*cb, ca**2*cb, sd*ca*cb, sa*ca*cb, sc*ca*cb, sa*sd*cb, sc*sa*cb, cc**3, ca*cc**2, sd*cc**2, sa*cc**2, sc*cc**2, ca**2*cc, sd*ca*cc, sa*ca*cc, sc*ca*cc, sa*sd*cc, sc*sa*cc, ca**3, sd*ca**2, sa*ca**2, sc*ca**2, sa*sd*ca, sc*sa*ca, sb**4, cd*sb**3, cb*sb**3, cc*sb**3, ca*sb**3, sd*sb**3, sa*sb**3, sc*sb**3, cd**2*sb**2, cb*cd*sb**2, cc*cd*sb**2, ca*cd*sb**2, sd*cd*sb**2, sa*cd*sb**2, sc*cd*sb**2, cc*cb*sb**2;['sc', 'sa', 'sd', 'ca', 'cc', 'cb', 'cd', 'sb']
2;sb;sb_cd_cb_ca_sd_sc_sa_cc;364.20739234401844;5675;422.84765625;sc**2, sd*sc, ca**2, cd**2, sb**2, cb*sc*cc, cd*sc*cc, sb*sc*cc, sd**2*cc, ca*sd*cc, cb*sd*cc, cd*sd*cc, sb*sd*cc, cb*ca*cc, cd*ca*cc, sb*ca*cc, cb**2*cc, cd*cb*cc, sb*cb*cc, sb*cd*cc, sa**3, sc*sa**2, sd*sa**2, ca*sa**2, cb*sa**2, cd*sa**2, sb*sa**2, ca*sc*sa, cb*sc*sa, cd*sc*sa, sb*sc*sa, sd**2*sa, ca*sd*sa, cb*sd*sa, cd*sd*sa, sb*sd*sa, cb*ca*sa, cd*ca*sa, sb*ca*sa, cb**2*sa, cd*cb*sa, sb*cb*sa, sb*cd*sa, cb*ca*sc, cd*ca*sc, sb*ca*sc, cb**2*sc, cd*cb*sc, sb*cb*sc, sb*cd*sc, sd**3, ca*sd**2, cb*sd**2, cd*sd**2, sb*sd**2, cb*ca*sd, cd*ca*sd, sb*ca*sd, cb**2*sd, cd*cb*sd, sb*cb*sd, sb*cd*sd, cb**2*ca, cd*cb*ca, sb*cb*ca, sb*cd*ca, cb**3, cd*cb**2, sb*cb**2, sb*cd*cb, cc**4, sa*cc**3, sc*cc**3, sd*cc**3, ca*cc**3, cb*cc**3, cd*cc**3, sb*cc**3, sa**2*cc**2, sc*sa*cc**2, sd*sa*cc**2, ca*sa*cc**2, cb*sa*cc**2, cd*sa*cc**2, sb*sa*cc**2, ca*sc*cc**2;['sb', 'cd', 'cb', 'ca', 'sd', 'sc', 'sa', 'cc']
3;sc;sc_sb_sd_ca_sa_cd_cc_cb;779.7509681810043;6475;432.1171875;ca**2, sd**2, sc*sd, sb**2, sc**2, sa*cd*cb, ca*cd*cb, sd*cd*cb, sb*cd*cb, sc*cd*cb, sa**2*cb, ca*sa*cb, sd*sa*cb, sb*sa*cb, sc*sa*cb, sd*ca*cb, sb*ca*cb, sc*ca*cb, sb*sd*cb, sc*sb*cb, cc**3, cd*cc**2, sa*cc**2, ca*cc**2, sd*cc**2, sb*cc**2, sc*cc**2, cd**2*cc, sa*cd*cc, ca*cd*cc, sd*cd*cc, sb*cd*cc, sc*cd*cc, sa**2*cc, ca*sa*cc, sd*sa*cc, sb*sa*cc, sc*sa*cc, sd*ca*cc, sb*ca*cc, sc*ca*cc, sb*sd*cc, sc*sb*cc, cd**3, sa*cd**2, ca*cd**2, sd*cd**2, sb*cd**2, sc*cd**2, sa**2*cd, ca*sa*cd, sd*sa*cd, sb*sa*cd, sc*sa*cd, sd*ca*cd, sb*ca*cd, sc*ca*cd, sb*sd*cd, sc*sb*cd, sa**3, ca*sa**2, sd*sa**2, sb*sa**2, sc*sa**2, sd*ca*sa, sb*ca*sa, sc*ca*sa, sb*sd*sa, sc*sb*sa, sb*sd*ca, sc*sb*ca, cb**4, cc*cb**3, cd*cb**3, sa*cb**3, ca*cb**3, sd*cb**3, sb*cb**3, sc*cb**3, cc**2*cb**2, cd*cc*cb**2, sa*cc*cb**2, ca*cc*cb**2, sd*cc*cb**2, sb*cc*cb**2, sc*cc*cb**2, cd**2*cb**2;['sc', 'sb', 'sd', 'ca', 'sa', 'cd', 'cc', 'cb']
4;cd;cd_cc_ca_cb_sb_sc_sd_sa;1689.5365464669885;6399;854.76171875;cb**2, ca**2, cc**2, cd*cc, cd**2, sb*sc*sa, cb*sc*sa, ca*sc*sa, cc*sc*sa, cd*sc*sa, sb**2*sa, cb*sb*sa, ca*sb*sa, cc*sb*sa, cd*sb*sa, ca*cb*sa, cc*cb*sa, cd*cb*sa, cc*ca*sa, cd*ca*sa, sd**3, sc*sd**2, sb*sd**2, cb*sd**2, ca*sd**2, cc*sd**2, cd*sd**2, sc**2*sd, sb*sc*sd, cb*sc*sd, ca*sc*sd, cc*sc*sd, cd*sc*sd, sb**2*sd, cb*sb*sd, ca*sb*sd, cc*sb*sd, cd*sb*sd, ca*cb*sd, cc*cb*sd, cd*cb*sd, cc*ca*sd, cd*ca*sd, sc**3, sb*sc**2, cb*sc**2, ca*sc**2, cc*sc**2, cd*sc**2, sb**2*sc, cb*sb*sc, ca*sb*sc, cc*sb*sc, cd*sb*sc, ca*cb*sc, cc*cb*sc, cd*cb*sc, cc*ca*sc, cd*ca*sc, sb**3, cb*sb**2, ca*sb**2, cc*sb**2, cd*sb**2, ca*cb*sb, cc*cb*sb, cd*cb*sb, cc*ca*sb, cd*ca*sb, cc*ca*cb, cd*ca*cb, sa**4, sd*sa**3, sc*sa**3, sb*sa**3, cb*sa**3, ca*sa**3, cc*sa**3, cd*sa**3, sd**2*sa**2, sc*sd*sa**2, sb*sd*sa**2, cb*sd*sa**2, ca*sd*sa**2, cc*sd*sa**2, cd*sd*sa**2, sc**2*sa**2;['cd', 'cc', 'ca', 'cb', 'sb', 'sc', 'sd', 'sa']
5;cb;cb_cd_cc_ca_sa_sc_sb_sd;833.7402407580521;6584;854.76171875;ca**2, cc**2, cd*cc, cd**2, cb**2, sc**2*sd, ca*sc*sd, cc*sc*sd, cd*sc*sd, cb*sc*sd, sa**2*sd, ca*sa*sd, cc*sa*sd, cd*sa*sd, cb*sa*sd, cc*ca*sd, cd*ca*sd, cb*ca*sd, cb*cc*sd, cb*cd*sd, sb**3, sc*sb**2, sa*sb**2, ca*sb**2, cc*sb**2, cd*sb**2, cb*sb**2, sc**2*sb, sa*sc*sb, ca*sc*sb, cc*sc*sb, cd*sc*sb, cb*sc*sb, sa**2*sb, ca*sa*sb, cc*sa*sb, cd*sa*sb, cb*sa*sb, cc*ca*sb, cd*ca*sb, cb*ca*sb, cb*cc*sb, cb*cd*sb, sc**3, sa*sc**2, ca*sc**2, cc*sc**2, cd*sc**2, cb*sc**2, sa**2*sc, ca*sa*sc, cc*sa*sc, cd*sa*sc, cb*sa*sc, cc*ca*sc, cd*ca*sc, cb*ca*sc, cb*cc*sc, cb*cd*sc, sa**3, ca*sa**2, cc*sa**2, cd*sa**2, cb*sa**2, cc*ca*sa, cd*ca*sa, cb*ca*sa, cb*cc*sa, cb*cd*sa, cb*cc*ca, cb*cd*ca, sd**4, sb*sd**3, sc*sd**3, sa*sd**3, ca*sd**3, cc*sd**3, cd*sd**3, cb*sd**3, sb**2*sd**2, sc*sb*sd**2, sa*sb*sd**2, ca*sb*sd**2, cc*sb*sd**2, cd*sb*sd**2, cb*sb*sd**2, sa*sc*sd**2;['cb', 'cd', 'cc', 'ca', 'sa', 'sc', 'sb', 'sd']
6;cc;cc_sa_ca_sb_sd_sc_cb_cd;371.60215342702577;5773;605.1953125;sd*sc, sd**2, sb**2, sa**2, cc**2, sc**2*cd, ca*sc*cd, sa*sc*cd, cc*sc*cd, sb*sd*cd, ca*sd*cd, sa*sd*cd, cc*sd*cd, ca*sb*cd, sa*sb*cd, cc*sb*cd, ca**2*cd, sa*ca*cd, cc*ca*cd, cc*sa*cd, cb**3, sc*cb**2, sd*cb**2, sb*cb**2, ca*cb**2, sa*cb**2, cc*cb**2, sc**2*cb, sb*sc*cb, ca*sc*cb, sa*sc*cb, cc*sc*cb, sb*sd*cb, ca*sd*cb, sa*sd*cb, cc*sd*cb, ca*sb*cb, sa*sb*cb, cc*sb*cb, ca**2*cb, sa*ca*cb, cc*ca*cb, cc*sa*cb, sc**3, sb*sc**2, ca*sc**2, sa*sc**2, cc*sc**2, ca*sb*sc, sa*sb*sc, cc*sb*sc, ca**2*sc, sa*ca*sc, cc*ca*sc, cc*sa*sc, ca*sb*sd, sa*sb*sd, cc*sb*sd, ca**2*sd, sa*ca*sd, cc*ca*sd, cc*sa*sd, ca**2*sb, sa*ca*sb, cc*ca*sb, cc*sa*sb, ca**3, sa*ca**2, cc*ca**2, cc*sa*ca, cd**4, cb*cd**3, sc*cd**3, sd*cd**3, sb*cd**3, ca*cd**3, sa*cd**3, cc*cd**3, cb**2*cd**2, sc*cb*cd**2, sd*cb*cd**2, sb*cb*cd**2, ca*cb*cd**2, sa*cb*cd**2, cc*cb*cd**2, sb*sc*cd**2;['cc', 'sa', 'ca', 'sb', 'sd', 'sc', 'cb', 'cd']
7;cb;cb_cd_sb_sd_cc_ca_sa_sc;510.30030924401945;6501;601.2578125;ca**2, cc**2, cd*cc, cd**2, cb**2, sd*ca*sc, sb*ca*sc, cd*ca*sc, cb*ca*sc, sd*cc*sc, sb*cc*sc, cb*cc*sc, sd**2*sc, sb*sd*sc, cd*sd*sc, cb*sd*sc, sb**2*sc, cd*sb*sc, cb*sb*sc, cb*cd*sc, sa**3, ca*sa**2, cc*sa**2, sd*sa**2, sb*sa**2, cd*sa**2, cb*sa**2, cc*ca*sa, sd*ca*sa, sb*ca*sa, cd*ca*sa, cb*ca*sa, sd*cc*sa, sb*cc*sa, cb*cc*sa, sd**2*sa, sb*sd*sa, cd*sd*sa, cb*sd*sa, sb**2*sa, cd*sb*sa, cb*sb*sa, cb*cd*sa, sd*cc*ca, sb*cc*ca, cb*cc*ca, sd**2*ca, sb*sd*ca, cd*sd*ca, cb*sd*ca, sb**2*ca, cd*sb*ca, cb*sb*ca, cb*cd*ca, sd**2*cc, sb*sd*cc, cb*sd*cc, sb**2*cc, cb*sb*cc, sd**3, sb*sd**2, cd*sd**2, cb*sd**2, sb**2*sd, cd*sb*sd, cb*sb*sd, cb*cd*sd, sb**3, cd*sb**2, cb*sb**2, cb*cd*sb, sc**4, sa*sc**3, ca*sc**3, cc*sc**3, sd*sc**3, sb*sc**3, cd*sc**3, cb*sc**3, sa**2*sc**2, ca*sa*sc**2, cc*sa*sc**2, sd*sa*sc**2, sb*sa*sc**2, cd*sa*sc**2, cb*sa*sc**2, cc*ca*sc**2;['cb', 'cd', 'sb', 'sd', 'cc', 'ca', 'sa', 'sc']
8;sa;sa_sd_cd_cc_sc_sb_cb_ca;533.202876758005;5397;600.2734375;sb**2, cc**2, cd*cc, sd**2, sa**2, cc*sb*ca, cd*sb*ca, sd*sb*ca, sa*sb*ca, sc**2*ca, cc*sc*ca, cd*sc*ca, sd*sc*ca, sa*sc*ca, sd*cc*ca, sa*cc*ca, cd**2*ca, sd*cd*ca, sa*cd*ca, sa*sd*ca, cb**3, sb*cb**2, sc*cb**2, cc*cb**2, cd*cb**2, sd*cb**2, sa*cb**2, sc*sb*cb, cc*sb*cb, cd*sb*cb, sd*sb*cb, sa*sb*cb, sc**2*cb, cc*sc*cb, cd*sc*cb, sd*sc*cb, sa*sc*cb, sd*cc*cb, sa*cc*cb, cd**2*cb, sd*cd*cb, sa*cd*cb, sa*sd*cb, sc**2*sb, cc*sc*sb, cd*sc*sb, sd*sc*sb, sa*sc*sb, sd*cc*sb, sa*cc*sb, cd**2*sb, sd*cd*sb, sa*cd*sb, sa*sd*sb, sc**3, cc*sc**2, cd*sc**2, sd*sc**2, sa*sc**2, sd*cc*sc, sa*cc*sc, cd**2*sc, sd*cd*sc, sa*cd*sc, sa*sd*sc, sa*sd*cc, cd**3, sd*cd**2, sa*cd**2, sa*sd*cd, ca**4, cb*ca**3, sb*ca**3, sc*ca**3, cc*ca**3, cd*ca**3, sd*ca**3, sa*ca**3, cb**2*ca**2, sb*cb*ca**2, sc*cb*ca**2, cc*cb*ca**2, cd*cb*ca**2, sd*cb*ca**2, sa*cb*ca**2, sc*sb*ca**2;['sa', 'sd', 'cd', 'cc', 'sc', 'sb', 'cb', 'ca']
9;sc;sc_ca_cc_sa_sd_cb_cd_sb;986.4788633059943;6391;600.2734375;cb**2, sd**2, sc*sd, ca**2, sc**2, sa*cb*sb, cc*cb*sb, ca*cb*sb, sc*cb*sb, sa*sd*sb, cc*sd*sb, ca*sd*sb, sa**2*sb, cc*sa*sb, ca*sa*sb, sc*sa*sb, cc**2*sb, ca*cc*sb, sc*cc*sb, sc*ca*sb, cd**3, cb*cd**2, sd*cd**2, sa*cd**2, cc*cd**2, ca*cd**2, sc*cd**2, sd*cb*cd, sa*cb*cd, cc*cb*cd, ca*cb*cd, sc*cb*cd, sa*sd*cd, cc*sd*cd, ca*sd*cd, sa**2*cd, cc*sa*cd, ca*sa*cd, sc*sa*cd, cc**2*cd, ca*cc*cd, sc*cc*cd, sc*ca*cd, sa*sd*cb, cc*sd*cb, ca*sd*cb, sa**2*cb, cc*sa*cb, ca*sa*cb, sc*sa*cb, cc**2*cb, ca*cc*cb, sc*cc*cb, sc*ca*cb, sa**2*sd, cc*sa*sd, ca*sa*sd, cc**2*sd, ca*cc*sd, sa**3, cc*sa**2, ca*sa**2, sc*sa**2, cc**2*sa, ca*cc*sa, sc*cc*sa, sc*ca*sa, cc**3, ca*cc**2, sc*cc**2, sc*ca*cc, sb**4, cd*sb**3, cb*sb**3, sd*sb**3, sa*sb**3, cc*sb**3, ca*sb**3, sc*sb**3, cd**2*sb**2, cb*cd*sb**2, sd*cd*sb**2, sa*cd*sb**2, cc*cd*sb**2, ca*cd*sb**2, sc*cd*sb**2, sd*cb*sb**2;['sc', 'ca', 'cc', 'sa', 'sd', 'cb', 'cd', 'sb']
10;cd;cd_sa_ca_cb_sb_sd_sc_cc;323.1796245419537;4766;598.3046875;sc**2, sd*sc, cb**2, sa**2, cd**2, cd*sc*cc, sd**2*cc, cd*sd*cc, sb**2*cc, cb*sb*cc, ca*sb*cc, sa*sb*cc, cd*sb*cc, ca*cb*cc, sa*cb*cc, cd*cb*cc, ca**2*cc, sa*ca*cc, cd*ca*cc, cd*sa*cc, sb**2*sc, cb*sb*sc, ca*sb*sc, sa*sb*sc, cd*sb*sc, ca*cb*sc, sa*cb*sc, cd*cb*sc, ca**2*sc, sa*ca*sc, cd*ca*sc, cd*sa*sc, sd**3, sb*sd**2, cb*sd**2, ca*sd**2, sa*sd**2, cd*sd**2, sb**2*sd, cb*sb*sd, ca*sb*sd, sa*sb*sd, cd*sb*sd, ca*cb*sd, sa*cb*sd, cd*cb*sd, ca**2*sd, sa*ca*sd, cd*ca*sd, cd*sa*sd, sb**3, cb*sb**2, ca*sb**2, sa*sb**2, cd*sb**2, ca*cb*sb, sa*cb*sb, cd*cb*sb, ca**2*sb, sa*ca*sb, cd*ca*sb, cd*sa*sb, ca**2*cb, sa*ca*cb, cd*ca*cb, cd*sa*cb, ca**3, sa*ca**2, cd*ca**2, cd*sa*ca, cc**4, sc*cc**3, sd*cc**3, sb*cc**3, cb*cc**3, ca*cc**3, sa*cc**3, cd*cc**3, sb*sc*cc**2, cb*sc*cc**2, ca*sc*cc**2, sa*sc*cc**2, sb*sd*cc**2, cb*sd*cc**2, ca*sd*cc**2, sa*sd*cc**2;['cd', 'sa', 'ca', 'cb', 'sb', 'sd', 'sc', 'cc']
