run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
1;v;v_t_y_w_u_x_z;18.766145;923;92.26171875;w**2, t*w, v*w, t*y, v*y, t**2, v*t, t*z**2, w*x*z, t*x*z, v*x*z, w*u*z, t*u*z, v*u*z, t*x**2, w*u*x, t*u*x, w*u**2, t*u**2, y*w*u, u*x*z**2, u**2*x*z, y*u**2*z;['v', 't', 'y', 'w', 'u', 'x', 'z']
2;u;u_x_t_y_w_v_z;13.2074544;637;92.31640625;w**2, t*w, u*w, t*y, t**2, x*t, u*t, t*z**2, w*v*z, y*v*z, t*v*z, x*v*z, x*w*z, u**2*z, w*v**2, y*v**2, t*v**2, y*w*v, x*w*v, y**2*v, x*y*v, u*y*v, u*x*z**2;['u', 'x', 't', 'y', 'w', 'v', 'z']
3;v;v_u_z_t_y_w_x;16.114615800000003;505;92.31640625;v*w, t*y, t**2, z*t, u*t, v*t, u*z, t*x**2, w**2*x, t*w*x, z*w*x, u*w*x, v*z*x, w**3, y*w**2, t*w**2, z*w**2, u*w**2, u*y*w, u**2*w, v**2*y, v*u*y*x;['v', 'u', 'z', 't', 'y', 'w', 'x']
4;u;u_v_z_x_t_y_w;10.240819299999998;467;75.45703125;t*y, t**2, x*t, z*t, v*t, u*t, u*z, w**3, y*w**2, t*w**2, x*w**2, z*w**2, v*w**2, u*w**2, v*y*w, u*y*w, v*x*w, u*x*w, v*z*w, v**2*w, u*v*w, u**2*w, u*v*y, v*z*x, v**2*x*y, v**2*z*y;['u', 'v', 'z', 'x', 't', 'y', 'w']
5;w;w_v_y_x_u_z_t;20.8115564;813;69.36328125;w*t, w*u, w*x, v*y, w*y, w*v, w**2, t**3, z*t**2, u*t**2, x*t**2, y*t**2, v*t**2, u*z*t, x*z*t, v*z*t, u**2*t, x*u*t, y*u*t, v*u*t, v*x*t, v**2*t, w*z**2, v*u*z, v*x*z, x*u*z**2, x*u**2*z, y*u**2*z;['w', 'v', 'y', 'x', 'u', 'z', 't']
6;u;u_z_y_w_x_v_t;12.681929600000004;609;69.3671875;u*t, w*x, w**2, y*w, z*w, u*w, u*z, t**3, v*t**2, x*t**2, w*t**2, y*t**2, z*t**2, v**2*t, x*v*t, w*v*t, y*v*t, z*v*t, z*x*t, w*v**2, z*x*v, u*y*v, y*x*v**2, z*y*v**2;['u', 'z', 'y', 'w', 'x', 'v', 't']
7;z;z_y_v_t_u_w_x;7.153705299999999;529;65.98046875;v*w, t*u, t**2, v*t, y*t, z*t, y*v, t*x**2, w**2*x, u*w*x, t*w*x, z*w*x, z*v*x, w**3, u*w**2, t*w**2, y*w**2, z*w**2, u**2*w, y*u*w, z*u*w, z*v*u, z*u**2*x, z**2*u*x, z**2*u**2;['z', 'y', 'v', 't', 'u', 'w', 'x']
8;u;u_y_t_v_w_z_x;8.203354199999993;554;65.98046875;t*w, u*w, t*v, y*v, t**2, y*t, u*t, t*x**2, w*z*x, v*z*x, t*z*x, w**2*x, v*w*x, t*z**2, w**2*z, v*w*z, u**2*z, w**3, v*w**2, y*w**2, v**2*w, u*z**2*x;['u', 'y', 't', 'v', 'w', 'z', 'x']
9;t;t_y_x_v_u_z_w;6.273855499999996;552;65.74609375;t*z, t*u, y*v, t*v, t*x, t*y, t**2, w**3, z*w**2, u*w**2, v*w**2, x*w**2, y*w**2, t*w**2, u*z*w, v*z*w, x*z*w, u**2*w, v*u*w, x*u*w, y*u*w, v**2*w, x*v*w, v*u*z, x*v*z, x*u*z**2, x*u**2*z, y*u**2*z;['t', 'y', 'x', 'v', 'u', 'z', 'w']
10;w;w_u_y_x_t_z_v;30.224410699999993;655;66.79296875;t**2, u*t, w*t, w*x, w*y, w*u, w**2, t*v**2, w*v**2, t*z*v, x*z*v, u*z*v, w*z*v, x*t*v, y*t*v, u*y*v, u*z**2, w*z**2, x*t*z, u*x*z, u*y*z, u**2*z, y*x*v**2, y**2*v**2;['w', 'u', 'y', 'x', 't', 'z', 'v']
11;y;y_w_x_z_v_u_t;12.853192799999988;576;66.8046875;w*t, w*v, y*v, w*z, w*x, w**2, y*w, t**3, u*t**2, v*t**2, z*t**2, x*t**2, y*t**2, u**2*t, v*u*t, z*u*t, x*u*t, y*u*t, v**2*t, z*v*t, x*v*t, x*z*t, w*u**2, z*v*u, x*z*v, x*z*u**2, y*z*u**2, x*z**2*u;['y', 'w', 'x', 'z', 'v', 'u', 't']
12;v;v_x_w_y_t_z_u;16.303176800000017;586;66.80859375;w*t, v*t, w*y, v*y, w**2, x*w, v*w, t*u**2, w*u**2, t*z*u, w*z*u, v*z*u, t**2*u, y*t*u, x*t*u, w*z**2, t**2*z, x*t*z, v*x*z, t**3, y*t**2, x*t**2, y*z*u**2, x*z*u**2, x*z**2*u;['v', 'x', 'w', 'y', 't', 'z', 'u']
