run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
1;x10;x10_x7_x3_x4_x5_x6_x2_x1_x9_x8;0.2882638999999996;167;89.08203125;x5, x3, x7, x10, x9*x8, x1*x8, x2*x8, x6*x8, x1*x9, x2*x9, x6*x9, x1**2, x2*x1, x6*x1, x2**2, x6*x2, x6**2, x4**2, x8**3, x9**3;['x10', 'x7', 'x3', 'x4', 'x5', 'x6', 'x2', 'x1', 'x9', 'x8']
2;x3;x3_x4_x9_x8_x1_x2_x6_x5_x7_x10;0.32714019999999966;168;89.4765625;x8, x9, x4, x3, x6*x10, x2*x10, x1*x10, x7**2, x5**2, x6*x5, x2*x5, x1*x5, x6**2, x2*x6, x1*x6, x2**2, x1*x2, x1**2, x10**3, x5*x10**2;['x3', 'x4', 'x9', 'x8', 'x1', 'x2', 'x6', 'x5', 'x7', 'x10']
3;x8;x8_x2_x10_x1_x7_x4_x6_x5_x9_x3;0.5058127999999993;166;89.48046875;x7, x10, x2, x8, x9*x3, x5*x3, x6*x3, x1*x3, x5*x9, x6*x9, x1*x9, x5**2, x6*x5, x1*x5, x6**2, x1*x6, x4**2, x1**2, x3**3, x9**3;['x8', 'x2', 'x10', 'x1', 'x7', 'x4', 'x6', 'x5', 'x9', 'x3']
4;x10;x10_x9_x4_x1_x6_x3_x8_x7_x2_x5;0.18352210000000024;157;89.48046875;x3, x4, x9, x10, x8*x5, x6*x5, x1*x5, x2**2, x8*x2, x6*x2, x1*x2, x7**2, x8**2, x6*x8, x1*x8, x6**2, x1*x6, x1**2, x5**3, x2*x5**2;['x10', 'x9', 'x4', 'x1', 'x6', 'x3', 'x8', 'x7', 'x2', 'x5']
5;x3;x3_x1_x10_x6_x4_x9_x5_x2_x7_x8;0.2932212000000005;139;89.48046875;x4, x10, x1, x3, x2*x8, x5*x8, x9*x8, x6*x8, x7**2, x2**2, x9*x2, x6*x2, x5**2, x9*x5, x6*x5, x9**2, x6*x9, x6**2, x8**3;['x3', 'x1', 'x10', 'x6', 'x4', 'x9', 'x5', 'x2', 'x7', 'x8']
6;x7;x7_x1_x2_x8_x4_x6_x9_x5_x3_x10;0.7445469000000005;180;90.10546875;x8, x2, x1, x7, x5*x10, x9*x10, x6*x10, x3**2, x5*x3, x9*x3, x6*x3, x5**2, x9*x5, x6*x5, x9**2, x6*x9, x6**2, x4**2, x10**3, x3*x10**2;['x7', 'x1', 'x2', 'x8', 'x4', 'x6', 'x9', 'x5', 'x3', 'x10']
7;x2;x2_x8_x7_x3_x6_x4_x9_x5_x1_x10;0.38751029999999886;155;90.109375;x3, x7, x8, x2, x5*x10, x9*x10, x6*x10, x1**2, x5*x1, x9*x1, x6*x1, x5**2, x9*x5, x6*x5, x9**2, x6*x9, x4**2, x6**2, x10**3, x1*x10**2;['x2', 'x8', 'x7', 'x3', 'x6', 'x4', 'x9', 'x5', 'x1', 'x10']
8;x9;x9_x3_x6_x4_x10_x1_x7_x5_x2_x8;0.22547720000000027;139;90.109375;x4, x6, x3, x9, x2*x8, x5*x8, x1*x8, x10*x8, x2**2, x1*x2, x10*x2, x5**2, x1*x5, x10*x5, x7**2, x1**2, x10*x1, x10**2, x8**3;['x9', 'x3', 'x6', 'x4', 'x10', 'x1', 'x7', 'x5', 'x2', 'x8']
9;x5;x5_x9_x3_x10_x4_x6_x2_x7_x8_x1;0.20618160000000074;141;90.109375;x4, x3, x9, x5, x1**2, x8*x1, x2*x1, x6*x1, x2*x8, x6*x8, x10*x8, x7**2, x2**2, x6*x2, x10*x2, x6**2, x10*x6, x10**2, x8**3;['x5', 'x9', 'x3', 'x10', 'x4', 'x6', 'x2', 'x7', 'x8', 'x1']
10;x7;x7_x2_x6_x9_x8_x3_x10_x1_x5_x4;0.5363541000000005;170;89.859375;x8, x9, x2, x7, x4**2, x10*x5, x3*x5, x6*x5, x1**2, x10*x1, x3*x1, x6*x1, x10**2, x3*x10, x6*x10, x3**2, x6*x3, x6**2, x5**3, x1*x5**2;['x7', 'x2', 'x6', 'x9', 'x8', 'x3', 'x10', 'x1', 'x5', 'x4']
11;x10;x10_x2_x9_x3_x8_x4_x1_x5_x6_x7;0.4071189000000004;156;89.859375;x4, x3, x2, x10, x7**2, x1*x6, x8*x6, x9*x6, x5**2, x1*x5, x8*x5, x9*x5, x1**2, x8*x1, x9*x1, x8**2, x9*x8, x9**2, x6**3, x5*x6**2;['x10', 'x2', 'x9', 'x3', 'x8', 'x4', 'x1', 'x5', 'x6', 'x7']
12;x4;x4_x3_x5_x2_x6_x7_x9_x8_x1_x10;0.340329800000001;154;89.859375;x2, x5, x3, x4, x8*x10, x9*x10, x6*x10, x1**2, x8*x1, x9*x1, x6*x1, x8**2, x9*x8, x6*x8, x9**2, x6*x9, x7**2, x6**2, x10**3, x1*x10**2;['x4', 'x3', 'x5', 'x2', 'x6', 'x7', 'x9', 'x8', 'x1', 'x10']
13;x3;x3_x9_x2_x10_x4_x6_x7_x5_x1_x8;0.38382580000000033;138;89.859375;x4, x2, x9, x3, x1*x8, x5*x8, x6*x8, x10*x8, x1**2, x6*x1, x10*x1, x5**2, x6*x5, x10*x5, x7**2, x6**2, x10*x6, x10**2, x8**3;['x3', 'x9', 'x2', 'x10', 'x4', 'x6', 'x7', 'x5', 'x1', 'x8']
14;x10;x10_x5_x1_x8_x9_x6_x3_x4_x2_x7;0.1840598;126;89.859375;x4, x8, x5, x10, x7**2, x2**2, x9*x2, x1*x2, x3**2, x6*x3, x9*x3, x1*x3, x6**2, x9*x6, x1*x6, x9**2, x1*x9, x1**2;['x10', 'x5', 'x1', 'x8', 'x9', 'x6', 'x3', 'x4', 'x2', 'x7']
15;x10;x10_x7_x4_x3_x1_x6_x8_x5_x2_x9;0.5990405999999986;168;89.859375;x1, x3, x7, x10, x2*x9, x8*x9, x6*x9, x2**2, x5*x2, x8*x2, x6*x2, x5**2, x8*x5, x6*x5, x8**2, x6*x8, x6**2, x4**2, x9**3, x5*x9**2;['x10', 'x7', 'x4', 'x3', 'x1', 'x6', 'x8', 'x5', 'x2', 'x9']
16;x5;x5_x2_x6_x3_x1_x9_x7_x4_x8_x10;0.8301853000000001;213;81.39453125;x7, x3, x2, x5, x9*x10, x1*x10, x6*x10, x8**2, x9*x8, x1*x8, x6*x8, x4**2, x9**2, x1*x9, x6*x9, x1**2, x6*x1, x6**2, x10**3, x8*x10**2;['x5', 'x2', 'x6', 'x3', 'x1', 'x9', 'x7', 'x4', 'x8', 'x10']
17;x5;x5_x10_x9_x8_x2_x4_x7_x6_x1_x3;0.20591950000000026;141;81.39453125;x4, x8, x10, x5, x1*x3, x6*x3, x2*x3, x9*x3, x1**2, x6*x1, x2*x1, x6**2, x2*x6, x9*x6, x7**2, x2**2, x9*x2, x9**2, x3**3;['x5', 'x10', 'x9', 'x8', 'x2', 'x4', 'x7', 'x6', 'x1', 'x3']
18;x5;x5_x10_x4_x8_x6_x3_x2_x9_x7_x1;0.15267069999999983;125;81.39453125;x8, x4, x10, x5, x1**2, x2*x1, x3*x1, x6*x1, x7**2, x9**2, x2*x9, x6*x9, x2**2, x3*x2, x6*x2, x3**2, x6*x3, x6**2;['x5', 'x10', 'x4', 'x8', 'x6', 'x3', 'x2', 'x9', 'x7', 'x1']
19;x4;x4_x3_x5_x6_x2_x10_x7_x1_x9_x8;0.24409660000000066;172;81.39453125;x6, x5, x3, x4, x9*x8, x1*x8, x10*x8, x2*x8, x1*x9, x10*x9, x2*x9, x1**2, x10*x1, x2*x1, x7**2, x10**2, x2*x10, x2**2, x8**3, x9**3;['x4', 'x3', 'x5', 'x6', 'x2', 'x10', 'x7', 'x1', 'x9', 'x8']
20;x3;x3_x10_x9_x6_x4_x1_x5_x2_x7_x8;0.23188480000000133;141;81.39453125;x4, x9, x10, x3, x2*x8, x5*x8, x1*x8, x6*x8, x7**2, x2**2, x1*x2, x6*x2, x5**2, x1*x5, x6*x5, x1**2, x6*x1, x6**2, x8**3;['x3', 'x10', 'x9', 'x6', 'x4', 'x1', 'x5', 'x2', 'x7', 'x8']
21;x1;x1_x5_x3_x7_x2_x10_x6_x8_x9_x4;0.6638482999999997;216;81.4375;x2, x7, x3, x1, x4**2, x6*x9, x10*x9, x5*x9, x8**2, x6*x8, x10*x8, x5*x8, x6**2, x10*x6, x5*x6, x10**2, x5*x10, x5**2, x9**3, x8*x9**2;['x1', 'x5', 'x3', 'x7', 'x2', 'x10', 'x6', 'x8', 'x9', 'x4']
22;x5;x5_x6_x3_x10_x1_x4_x8_x9_x7_x2;0.11664710000000156;126;81.4453125;x4, x3, x6, x5, x2**2, x9*x2, x1*x2, x7**2, x9**2, x8*x9, x1*x9, x10*x9, x8**2, x1*x8, x10*x8, x1**2, x10*x1, x10**2;['x5', 'x6', 'x3', 'x10', 'x1', 'x4', 'x8', 'x9', 'x7', 'x2']
23;x2;x2_x5_x4_x8_x1_x3_x10_x7_x6_x9;0.5028476000000008;169;81.4453125;x8, x4, x5, x2, x10*x9, x3*x9, x1*x9, x6**2, x10*x6, x3*x6, x1*x6, x7**2, x10**2, x3*x10, x1*x10, x3**2, x1*x3, x1**2, x9**3, x6*x9**2;['x2', 'x5', 'x4', 'x8', 'x1', 'x3', 'x10', 'x7', 'x6', 'x9']
24;x6;x6_x9_x10_x5_x8_x1_x7_x2_x3_x4;0.4232495000000007;140;81.4453125;x7, x8, x9, x6, x4**2, x2*x3, x1*x3, x5*x3, x10*x3, x2**2, x1*x2, x10*x2, x1**2, x5*x1, x10*x1, x5**2, x10*x5, x10**2, x3**3;['x6', 'x9', 'x10', 'x5', 'x8', 'x1', 'x7', 'x2', 'x3', 'x4']
25;x10;x10_x4_x7_x5_x8_x6_x3_x2_x9_x1;0.1968381000000008;127;81.4453125;x8, x5, x4, x10, x1**2, x2*x1, x3*x1, x6*x1, x9**2, x2*x9, x6*x9, x2**2, x3*x2, x6*x2, x3**2, x6*x3, x6**2, x7**2;['x10', 'x4', 'x7', 'x5', 'x8', 'x6', 'x3', 'x2', 'x9', 'x1']
26;x1;x1_x6_x3_x7_x8_x10_x9_x4_x5_x2;0.39811880000000066;139;81.4453125;x7, x3, x6, x1, x2**2, x9*x2, x8*x2, x5**2, x9*x5, x10*x5, x8*x5, x4**2, x9**2, x10*x9, x8*x9, x10**2, x8*x10, x8**2;['x1', 'x6', 'x3', 'x7', 'x8', 'x10', 'x9', 'x4', 'x5', 'x2']
27;x4;x4_x10_x6_x1_x8_x2_x9_x7_x3_x5;0.3294271000000002;158;67.58203125;x8, x6, x10, x4, x3*x5, x2*x5, x1*x5, x3**2, x9*x3, x2*x3, x1*x3, x7**2, x9**2, x2*x9, x1*x9, x2**2, x1*x2, x1**2, x5**3, x9*x5**2;['x4', 'x10', 'x6', 'x1', 'x8', 'x2', 'x9', 'x7', 'x3', 'x5']
28;x10;x10_x2_x9_x8_x3_x4_x1_x7_x5_x6;0.564662499999999;151;67.5859375;x4, x8, x2, x10, x1*x6, x3*x6, x9*x6, x5**2, x1*x5, x3*x5, x9*x5, x7**2, x1**2, x3*x1, x9*x1, x3**2, x9*x3, x9**2, x6**3, x5*x6**2;['x10', 'x2', 'x9', 'x8', 'x3', 'x4', 'x1', 'x7', 'x5', 'x6']
