run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
1;x1;2.081003;109;50;159;90.890625;x1_x5_x3_x4_x6_x2;['x1', 'x5', 'x3', 'x4', 'x6', 'x2']
2;x6;8.9032431;203;153;356;93.15234375;x6_x3_x1_x5_x2_x4;['x6', 'x3', 'x1', 'x5', 'x2', 'x4']
3;x5;9.874502699999999;199;145;344;93.15234375;x5_x6_x2_x4_x3_x1;['x5', 'x6', 'x2', 'x4', 'x3', 'x1']
4;x3;7.707600799999998;197;147;344;81.5703125;x3_x6_x4_x1_x2_x5;['x3', 'x6', 'x4', 'x1', 'x2', 'x5']
5;x4;1.8807366000000023;109;56;165;81.5703125;x4_x1_x5_x2_x6_x3;['x4', 'x1', 'x5', 'x2', 'x6', 'x3']
6;x3;1.9372506000000058;109;55;164;80.0703125;x3_x4_x1_x2_x6_x5;['x3', 'x4', 'x1', 'x2', 'x6', 'x5']
7;x2;1.7956557000000046;109;55;164;80.0703125;x2_x1_x3_x5_x6_x4;['x2', 'x1', 'x3', 'x5', 'x6', 'x4']
8;x2;3.304484500000001;180;96;276;80.0703125;x2_x1_x6_x5_x3_x4;['x2', 'x1', 'x6', 'x5', 'x3', 'x4']
9;x5;7.531889;199;145;344;81.5078125;x5_x6_x1_x4_x2_x3;['x5', 'x6', 'x1', 'x4', 'x2', 'x3']
10;x4;2.437858999999996;116;53;169;84.75;x4_x3_x5_x6_x2_x1;['x4', 'x3', 'x5', 'x6', 'x2', 'x1']
11;x4;1.5754409000000038;94;52;146;84.75;x4_x2_x5_x3_x1_x6;['x4', 'x2', 'x5', 'x3', 'x1', 'x6']
12;x6;7.0593188;198;152;350;82.13671875;x6_x1_x5_x2_x4_x3;['x6', 'x1', 'x5', 'x2', 'x4', 'x3']
13;x2;3.261778900000003;180;97;277;82.140625;x2_x5_x6_x1_x3_x4;['x2', 'x5', 'x6', 'x1', 'x3', 'x4']
14;x1;3.0335185000000067;116;57;173;80.890625;x1_x2_x4_x6_x5_x3;['x1', 'x2', 'x4', 'x6', 'x5', 'x3']
15;x4;1.8655147999999997;109;54;163;76.07421875;x4_x2_x5_x3_x6_x1;['x4', 'x2', 'x5', 'x3', 'x6', 'x1']
16;x2;1.729759400000006;94;49;143;73.37109375;x2_x1_x5_x3_x4_x6;['x2', 'x1', 'x5', 'x3', 'x4', 'x6']
17;x1;2.5618259999999964;116;51;167;77.14453125;x1_x3_x2_x6_x5_x4;['x1', 'x3', 'x2', 'x6', 'x5', 'x4']
18;x1;2.3859858999999943;109;52;161;77.14453125;x1_x5_x3_x4_x6_x2;['x1', 'x5', 'x3', 'x4', 'x6', 'x2']
19;x3;5.734899500000012;180;98;278;72.984375;x3_x2_x6_x4_x5_x1;['x3', 'x2', 'x6', 'x4', 'x5', 'x1']
20;x5;2.1610722000000067;94;47;141;34.77734375;x5_x2_x1_x4_x3_x6;['x5', 'x2', 'x1', 'x4', 'x3', 'x6']
21;x6;10.366627199999996;199;150;349;64.88671875;x6_x4_x3_x2_x5_x1;['x6', 'x4', 'x3', 'x2', 'x5', 'x1']
22;x1;2.2689129999999977;94;53;147;64.890625;x1_x3_x2_x5_x4_x6;['x1', 'x3', 'x2', 'x5', 'x4', 'x6']
23;x6;19.1539856;199;143;342;63.65234375;x6_x1_x5_x2_x3_x4;['x6', 'x1', 'x5', 'x2', 'x3', 'x4']
24;x1;2.6987900999999965;94;49;143;15.31640625;x1_x5_x3_x2_x4_x6;['x1', 'x5', 'x3', 'x2', 'x4', 'x6']
25;x5;10.9403365;200;147;347;13.8828125;x5_x6_x3_x4_x1_x2;['x5', 'x6', 'x3', 'x4', 'x1', 'x2']
26;x3;4.3011570000000034;116;54;170;17.7265625;x3_x5_x4_x6_x1_x2;['x3', 'x5', 'x4', 'x6', 'x1', 'x2']
27;x2;4.377267399999994;116;56;172;69.1953125;x2_x5_x4_x6_x1_x3;['x2', 'x5', 'x4', 'x6', 'x1', 'x3']
28;x3;4.906699299999985;180;100;280;69.1953125;x3_x2_x6_x4_x1_x5;['x3', 'x2', 'x6', 'x4', 'x1', 'x5']
29;x4;4.387873500000012;116;55;171;69.46484375;x4_x2_x1_x6_x3_x5;['x4', 'x2', 'x1', 'x6', 'x3', 'x5']
30;x5;5.007368200000002;180;103;283;69.46484375;x5_x1_x6_x3_x2_x4;['x5', 'x1', 'x6', 'x3', 'x2', 'x4']
31;x5;3.41645920000002;116;58;174;68.2265625;x5_x4_x3_x6_x2_x1;['x5', 'x4', 'x3', 'x6', 'x2', 'x1']
32;x6;11.116594100000015;199;151;350;68.2265625;x6_x1_x4_x3_x5_x2;['x6', 'x1', 'x4', 'x3', 'x5', 'x2']
33;x4;4.797277500000007;116;53;169;27.84765625;x4_x3_x5_x6_x1_x2;['x4', 'x3', 'x5', 'x6', 'x1', 'x2']
34;x4;6.702993699999979;94;47;141;20.4609375;x4_x5_x3_x1_x2_x6;['x4', 'x5', 'x3', 'x1', 'x2', 'x6']
35;x1;1.954771700000009;94;53;147;12.0;x1_x4_x3_x2_x5_x6;['x1', 'x4', 'x3', 'x2', 'x5', 'x6']
36;x4;3.705192799999992;94;49;143;62.17578125;x4_x3_x1_x5_x2_x6;['x4', 'x3', 'x1', 'x5', 'x2', 'x6']
37;x4;10.332147300000003;199;149;348;64.92578125;x4_x6_x2_x1_x3_x5;['x4', 'x6', 'x2', 'x1', 'x3', 'x5']
38;x2;5.488133699999992;116;56;172;64.92578125;x2_x4_x3_x6_x1_x5;['x2', 'x4', 'x3', 'x6', 'x1', 'x5']
39;x3;4.6663151999999855;180;98;278;32.2109375;x3_x5_x6_x1_x4_x2;['x3', 'x5', 'x6', 'x1', 'x4', 'x2']
40;x1;2.4328072000000134;109;57;166;15.31640625;x1_x2_x5_x4_x6_x3;['x1', 'x2', 'x5', 'x4', 'x6', 'x3']
41;x4;11.19269060000002;203;155;358;16.49609375;x4_x6_x2_x5_x3_x1;['x4', 'x6', 'x2', 'x5', 'x3', 'x1']
42;x1;2.1383492999999874;94;51;145;16.49609375;x1_x2_x5_x4_x3_x6;['x1', 'x2', 'x5', 'x4', 'x3', 'x6']
43;x6;13.153171000000015;199;146;345;67.30078125;x6_x4_x5_x2_x1_x3;['x6', 'x4', 'x5', 'x2', 'x1', 'x3']
44;x3;2.160368300000016;94;50;144;67.30078125;x3_x1_x2_x5_x4_x6;['x3', 'x1', 'x2', 'x5', 'x4', 'x6']
45;x1;2.203451699999988;94;50;144;66.05078125;x1_x5_x4_x2_x3_x6;['x1', 'x5', 'x4', 'x2', 'x3', 'x6']
46;x3;12.565204800000004;198;145;343;67.3046875;x3_x6_x5_x1_x4_x2;['x3', 'x6', 'x5', 'x1', 'x4', 'x2']
47;x3;11.023071600000009;197;150;347;67.37109375;x3_x6_x5_x4_x1_x2;['x3', 'x6', 'x5', 'x4', 'x1', 'x2']
48;x1;4.712181700000031;180;97;277;67.37890625;x1_x2_x6_x3_x4_x5;['x1', 'x2', 'x6', 'x3', 'x4', 'x5']
49;x6;11.668335300000024;199;146;345;66.3828125;x6_x4_x5_x3_x1_x2;['x6', 'x4', 'x5', 'x3', 'x1', 'x2']
50;x2;10.473347100000012;200;143;343;64.9375;x2_x6_x3_x5_x4_x1;['x2', 'x6', 'x3', 'x5', 'x4', 'x1']
51;x4;10.740956799999992;199;146;345;64.78515625;x4_x6_x2_x5_x3_x1;['x4', 'x6', 'x2', 'x5', 'x3', 'x1']
52;x3;2.2045372000000043;94;50;144;64.78515625;x3_x5_x2_x1_x4_x6;['x3', 'x5', 'x2', 'x1', 'x4', 'x6']
53;x1;3.3408355999999912;116;51;167;69.91796875;x1_x5_x4_x6_x3_x2;['x1', 'x5', 'x4', 'x6', 'x3', 'x2']
54;x1;9.774203099999966;199;147;346;69.66796875;x1_x6_x5_x2_x4_x3;['x1', 'x6', 'x5', 'x2', 'x4', 'x3']
55;x4;3.2254634999999894;116;56;172;69.25;x4_x5_x2_x6_x1_x3;['x4', 'x5', 'x2', 'x6', 'x1', 'x3']
