run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
1;x1;x1_x5_x3_x4_x6_x2;2.081003;159;90.890625;x1, x5*x2, x6**2, x4*x6, x3*x6, x5*x6, x4**2, x3*x4, x5*x4, x3**2, x5*x3, x5**2, x2**3, x6*x2**2, x4*x2**2, x3*x2**2;['x1', 'x5', 'x3', 'x4', 'x6', 'x2']
2;x6;x6_x3_x1_x5_x2_x4;8.9032431;356;93.15234375;x3, x6*x4, x2**2, x5*x2, x1*x2, x6*x2, x5**2, x1*x5, x6*x5, x1**2, x6*x1, x6**2, x4**3, x2*x4**2, x5*x4**2, x1*x4**2;['x6', 'x3', 'x1', 'x5', 'x2', 'x4']
3;x5;x5_x6_x2_x4_x3_x1;9.874502699999999;344;93.15234375;x5, x6*x1, x3**2, x4*x3, x2*x3, x6*x3, x4**2, x2*x4, x6*x4, x2**2, x6*x2, x6**2, x1**3, x3*x1**2, x4*x1**2, x2*x1**2;['x5', 'x6', 'x2', 'x4', 'x3', 'x1']
4;x3;x3_x6_x4_x1_x2_x5;7.707600799999998;344;81.5703125;x3, x6*x5, x2**2, x1*x2, x4*x2, x6*x2, x1**2, x4*x1, x6*x1, x4**2, x6*x4, x6**2, x5**3, x2*x5**2, x1*x5**2, x4*x5**2;['x3', 'x6', 'x4', 'x1', 'x2', 'x5']
5;x4;x4_x1_x5_x2_x6_x3;1.8807366000000023;165;81.5703125;x4, x1*x3, x6**2, x2*x6, x5*x6, x1*x6, x2**2, x5*x2, x1*x2, x5**2, x1*x5, x1**2, x3**3, x6*x3**2, x2*x3**2, x5*x3**2;['x4', 'x1', 'x5', 'x2', 'x6', 'x3']
6;x3;x3_x4_x1_x2_x6_x5;1.9372506000000058;164;80.0703125;x3, x4*x5, x6**2, x2*x6, x1*x6, x4*x6, x2**2, x1*x2, x4*x2, x1**2, x4*x1, x4**2, x5**3, x6*x5**2, x2*x5**2, x1*x5**2;['x3', 'x4', 'x1', 'x2', 'x6', 'x5']
7;x2;x2_x1_x3_x5_x6_x4;1.7956557000000046;164;80.0703125;x2, x1*x4, x6**2, x5*x6, x3*x6, x1*x6, x5**2, x3*x5, x1*x5, x3**2, x1*x3, x1**2, x4**3, x6*x4**2, x5*x4**2, x3*x4**2;['x2', 'x1', 'x3', 'x5', 'x6', 'x4']
8;x2;x2_x1_x6_x5_x3_x4;3.304484500000001;276;80.0703125;x2, x1*x4, x3**2, x5*x3, x6*x3, x1*x3, x5**2, x6*x5, x1*x5, x6**2, x1*x6, x1**2, x4**3, x3*x4**2, x5*x4**2, x6*x4**2;['x2', 'x1', 'x6', 'x5', 'x3', 'x4']
9;x5;x5_x6_x1_x4_x2_x3;7.531889;344;81.5078125;x5, x6*x3, x2**2, x4*x2, x1*x2, x6*x2, x4**2, x1*x4, x6*x4, x1**2, x6*x1, x6**2, x3**3, x2*x3**2, x4*x3**2, x1*x3**2;['x5', 'x6', 'x1', 'x4', 'x2', 'x3']
10;x4;x4_x3_x5_x6_x2_x1;2.437858999999996;169;84.75;x4, x3*x1, x2**2, x6*x2, x5*x2, x3*x2, x6**2, x5*x6, x3*x6, x5**2, x3*x5, x3**2, x1**3, x2*x1**2, x6*x1**2, x5*x1**2;['x4', 'x3', 'x5', 'x6', 'x2', 'x1']
