run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
1;x4;9.863374799999999;199;148;347;94.0078125;x4_x6_x3_x1_x5_x2;['x4', 'x6', 'x3', 'x1', 'x5', 'x2']
2;x6;9.512278300000002;199;149;348;94.01171875;x6_x3_x2_x1_x5_x4;['x6', 'x3', 'x2', 'x1', 'x5', 'x4']
3;x4;3.805235400000001;94;49;143;41.0078125;x4_x5_x3_x1_x2_x6;['x4', 'x5', 'x3', 'x1', 'x2', 'x6']
4;x2;3.172835799999998;116;52;168;23.1796875;x2_x5_x1_x6_x4_x3;['x2', 'x5', 'x1', 'x6', 'x4', 'x3']
5;x3;9.728025200000001;199;142;341;66.84765625;x3_x6_x4_x1_x5_x2;['x3', 'x6', 'x4', 'x1', 'x5', 'x2']
6;x2;15.614351899999996;199;144;343;66.87109375;x2_x6_x3_x5_x1_x4;['x2', 'x6', 'x3', 'x5', 'x1', 'x4']
7;x4;12.727544900000005;199;143;342;16.265625;x4_x6_x1_x3_x5_x2;['x4', 'x6', 'x1', 'x3', 'x5', 'x2']
8;x4;3.4607091999999966;180;100;280;13.4453125;x4_x3_x6_x5_x1_x2;['x4', 'x3', 'x6', 'x5', 'x1', 'x2']
9;x2;8.627894300000008;200;143;343;64.6484375;x2_x6_x1_x3_x5_x4;['x2', 'x6', 'x1', 'x3', 'x5', 'x4']
10;x5;2.0829442;109;52;161;64.6484375;x5_x3_x1_x4_x6_x2;['x5', 'x3', 'x1', 'x4', 'x6', 'x2']
11;x1;2.5190185000000014;116;53;169;69.49609375;x1_x4_x3_x6_x2_x5;['x1', 'x4', 'x3', 'x6', 'x2', 'x5']
12;x2;8.099484900000007;200;151;351;69.49609375;x2_x6_x5_x3_x1_x4;['x2', 'x6', 'x5', 'x3', 'x1', 'x4']
13;x5;3.275765100000001;180;100;280;65.7109375;x5_x2_x6_x3_x4_x1;['x5', 'x2', 'x6', 'x3', 'x4', 'x1']
14;x2;1.905604800000006;109;55;164;65.24609375;x2_x3_x4_x5_x6_x1;['x2', 'x3', 'x4', 'x5', 'x6', 'x1']
