run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
1;x4;x4_x1_x6_x2_x3_x5;3.2364621;280;89.4375;x4, x1*x5, x3**2, x2*x3, x6*x3, x1*x3, x2**2, x6*x2, x1*x2, x6**2, x1*x6, x1**2, x5**3, x3*x5**2, x2*x5**2, x6*x5**2;['x4', 'x1', 'x6', 'x2', 'x3', 'x5']
2;x4;x4_x5_x3_x6_x2_x1;2.6305273;171;94.4765625;x4, x5*x1, x2**2, x6*x2, x3*x2, x5*x2, x6**2, x3*x6, x5*x6, x3**2, x5*x3, x5**2, x1**3, x2*x1**2, x6*x1**2, x3*x1**2;['x4', 'x5', 'x3', 'x6', 'x2', 'x1']
3;x4;x4_x3_x2_x1_x5_x6;1.6770588000000002;145;94.4765625;x4, x3*x6, x5**2, x1*x5, x2*x5, x3*x5, x1**2, x2*x1, x3*x1, x2**2, x3*x2, x3**2, x6**3, x5*x6**2, x1*x6**2, x2*x6**2;['x4', 'x3', 'x2', 'x1', 'x5', 'x6']
4;x5;x5_x4_x2_x1_x6_x3;2.290418800000001;161;90.04296875;x5, x4*x3, x6**2, x1*x6, x2*x6, x4*x6, x1**2, x2*x1, x4*x1, x2**2, x4*x2, x4**2, x3**3, x6*x3**2, x1*x3**2, x2*x3**2;['x5', 'x4', 'x2', 'x1', 'x6', 'x3']
5;x5;x5_x1_x6_x4_x2_x3;3.2984370999999992;274;89.50390625;x5, x1*x3, x2**2, x4*x2, x6*x2, x1*x2, x4**2, x6*x4, x1*x4, x6**2, x1*x6, x1**2, x3**3, x2*x3**2, x4*x3**2, x6*x3**2;['x5', 'x1', 'x6', 'x4', 'x2', 'x3']
6;x6;x6_x3_x5_x2_x1_x4;7.671671100000001;343;91.88671875;x3, x6*x4, x1**2, x2*x1, x5*x1, x6*x1, x2**2, x5*x2, x6*x2, x5**2, x6*x5, x6**2, x4**3, x1*x4**2, x2*x4**2, x5*x4**2;['x6', 'x3', 'x5', 'x2', 'x1', 'x4']
7;x3;x3_x5_x6_x4_x1_x2;3.1051147000000014;277;91.88671875;x3, x5*x2, x1**2, x4*x1, x6*x1, x5*x1, x4**2, x6*x4, x5*x4, x6**2, x5*x6, x5**2, x2**3, x1*x2**2, x4*x2**2, x6*x2**2;['x3', 'x5', 'x6', 'x4', 'x1', 'x2']
8;x4;x4_x2_x3_x5_x6_x1;1.8884872999999978;161;90.44921875;x4, x2*x1, x6**2, x5*x6, x3*x6, x2*x6, x5**2, x3*x5, x2*x5, x3**2, x2*x3, x2**2, x1**3, x6*x1**2, x5*x1**2, x3*x1**2;['x4', 'x2', 'x3', 'x5', 'x6', 'x1']
9;x5;x5_x1_x4_x3_x2_x6;1.6520097000000007;144;90.46484375;x5, x1*x6, x2**2, x3*x2, x4*x2, x1*x2, x3**2, x4*x3, x1*x3, x4**2, x1*x4, x1**2, x6**3, x2*x6**2, x3*x6**2, x4*x6**2;['x5', 'x1', 'x4', 'x3', 'x2', 'x6']
10;x1;x1_x5_x4_x2_x6_x3;1.876923099999999;161;90.53515625;x1, x5*x3, x6**2, x2*x6, x4*x6, x5*x6, x2**2, x4*x2, x5*x2, x4**2, x5*x4, x5**2, x3**3, x6*x3**2, x2*x3**2, x4*x3**2;['x1', 'x5', 'x4', 'x2', 'x6', 'x3']
